term,pos,definition
arrow,noun,Here is one arrow: <IMG> -=>> </IMG>
book,noun,A set of pages.
book,noun,A written work published in printed or electronic form.
book,verb,To arrange for someone to have a seat on a plane.
book,verb,To arrange something on a particular date.
distinct,adjective,Familiar. Worked in Java.
distinct,adjective,Unique. No duplicates. Clearly different or of a different kind.
distinct,adverb,Uniquely. Written "distinctly".
distinct,noun,A keyword in this assignment.
distinct,noun,A keyword in this assignment.
distinct,noun,A keyword in this assignment.
distinct,noun,An advanced search option.
distinct,noun,Distinct is a parameter in this assignment.
placeholder,adjective,To be updated...
placeholder,adjective,To be updated...
placeholder,adverb,To be updated...
placeholder,conjunction,To be updated...
placeholder,interjection,To be updated...
placeholder,noun,To be updated...
placeholder,noun,To be updated...
placeholder,noun,To be updated...
placeholder,preposition,To be updated...
placeholder,pronoun,To be updated...
placeholder,verb,To be updated...
reverse,adjective,On back side.
reverse,adjective,Opposite to usual or previous arrangement.
reverse,noun,A dictionary program's parameter.
reverse,noun,Change to opposite direction.
reverse,noun,The opposite.
reverse,noun,To be updated...
reverse,noun,To be updated...
reverse,noun,To be updated...
reverse,noun,To be updated...
reverse,verb,Change something to opposite.
reverse,verb,Go back
reverse,verb,Revoke ruling.
reverse,verb,To be updated...
reverse,verb,To be updated...
reverse,verb,Turn something inside out.
six,noun,filler definition 40
seven,noun,filler definition 41
eight,noun,filler definition 42
nine,noun,filler definition 43
ten,noun,filler definition 44
eleven,noun,filler definition 45
twelve,noun,filler definition 46
thirteen,noun,filler definition 47
fourteen,noun,filler definition 48
fifteen,noun,filler definition 49
sixteen,noun,filler definition 50
seventeen,noun,filler definition 51
eighteen,noun,filler definition 52
nineteen,noun,filler definition 53
nineteen,noun,filler definition 54
nineteen,noun,filler definition 55
nineteen,noun,filler definition 56
nineteen,noun,filler definition 57
nineteen,noun,filler definition 58
nineteen,noun,filler definition 59
nineteen,noun,filler definition 60
nineteen,noun,filler definition 61
